"Pinto
(11)",Mustang (10),,"Bronco
(8)","Shetland
(14)","Pony
(2)",Release,,,,"Insufficient
Fields",,Not Used & Not Released
,,,,,,,,,,,,
Date,Day,Setup - Ready Time,Start - End Time,Facility/Equipment/Instructor,Permit#,Division,Count,Slots,Sum,Needs,,Release
"Mar 31, 2023",Fri,,07:00 PM - 09:00 PM,Sealth HS Complex Softball Lower,R108574,,,,,,,X
"Apr 1, 2023",Sat,,09:00 AM - 11:00 AM,Pee Wees,,Pinto,,8,,,,
"Apr 1, 2023",Sat,,11:00 AM - 01:00 PM,Pee Wees (Only Half of them),,Pinto,,4,12,11,,
"Apr 1, 2023",Sat,,01:00 PM - 03:00 PM,Pee Wees,,Mustang,,8,,,,
"Apr 1, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 01,R108571,Mustang,,2,10,10,,
"Apr 1, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 01,R108576,,,,,,,X
"Apr 1, 2023",Sat,,09:00 AM - 03:00 PM,Lincoln Park Ballfield 02,R108577,,,,,,,X
"Apr 1, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,X
"Apr 1, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 04,R108571,,,,,,,X
"Apr 1, 2023",Sat,,09:00 AM - 05:00 PM,Riverview Playfield Ballfield 03,R108576,,,,,,,X
"Apr 1, 2023",Sat,,09:00 AM - 06:00 PM,Delridge Playfield Ballfield 01 (SW),R108579,,,,,,,X
"Apr 1, 2023",Sat,,04:00 PM - 09:00 PM,Sealth HS Complex Utility Field Lower,R108574,,,,,,,X
"Apr 2, 2023",Sun,,09:00 AM - 01:00 PM,Sealth HS Complex Softball Upper,R108574,,,,,,,X
"Apr 2, 2023",Sun,,09:00 AM - 12:00 PM,Lincoln Park Ballfield 01,R108577,,,,,,,X
Have Released Fields with City up to Here,,,,,,,,,,,,
"Apr 3, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 02,R108571,,,,,,,
"Apr 3, 2023",Mon,,05:15 PM - 07:30 PM,Riverview Playfield Ballfield 01,R108574,,,,,,,
